date,long sleeve,culottes,miniskirt,short sleeves,printed,short cardigan,solid colours,trapeze dress,sleeveless,long cardigan,sheath dress,short coat,medium coat,doll dress,long dress,shorts,long coat,tracksuit,drop sleeve,patterned,kimono dress,medium cardigan,shirt dress,maxi,capris,gitana skirt,long duster,yellow,brown,blue,grey,green,black,red,white,orange,violet,acrylic,scuba crepe,tulle,angora,faux leather,georgette,lurex,nice,crepe,satin cotton,silky satin,fur,matte jersey,plisse,velvet,lace,cotton,piquet,plush,bengaline,jacquard,frise,technical,cady,dark jeans,light jeans,ity,plumetis,polyviscous,dainetto,webbing,foam rubber,chanel,marocain,macrame,embossed,heavy jeans,nylon,tencel,paillettes,chambree,chine crepe,muslin cotton or silk,linen,tactel,viscose twill,cloth,mohair,mutton,scottish,milano stitch,devore,hron,ottoman,fluid,flamed,fluid polyviscous,shiny jersey,goose
2015-10-05,55.0,41.0,66.0,58.0,58.0,22.0,24.0,43.0,66.0,74.0,42.0,44.0,10.0,73.0,70.0,38.0,36.0,30.0,11.0,75.0,25.0,0.0,78.6,63.0,37.0,0.0,24.0,83,66,77,18,79,25,61,77,70,56,57,18,81,65,50,25,23,20,35,61,10,54,35,26,54,70,68,33,35,13,73,80,89,29,50,63,62,20,-1.0,0,55,46,73,81,54,56,55,86,36,18,0,20,-1.0,52,33,0,82,62,45,57,0,29,17,57,80,49,-1.0,0,34
2015-10-12,55.0,44.0,73.0,71.0,61.0,31.0,37.0,21.2,63.0,59.0,52.0,47.0,29.0,85.0,72.0,37.0,33.0,27.0,33.0,83.0,40.0,0.0,75.0,64.0,32.0,0.0,14.0,80,66,95,18,76,26,62,77,71,57,58,0,86,63,52,31,21,18,37,37,59,58,70,38,54,68,69,23,38,27,76,76,89,26,56,66,72,30,-1.0,0,54,72,72,80,56,74,32,85,39,12,0,27,-1.0,55,48,0,82,66,43,54,0,17,14,61,80,41,-1.0,0,39
2015-10-19,60.0,42.0,73.0,62.0,61.0,43.0,37.0,27.4,47.0,71.0,37.0,46.0,29.0,100.0,79.0,36.0,39.0,31.0,55.0,71.0,39.0,0.0,68.8,66.0,23.0,0.0,34.0,83,66,92,18,76,27,62,77,67,58,59,0,81,70,52,27,19,18,43,30,29,59,52,33,53,100,68,26,38,17,86,62,81,27,59,66,63,30,-1.0,0,57,43,69,83,48,66,23,86,32,14,30,47,-1.0,54,35,48,81,63,46,55,0,21,23,63,79,52,-1.0,33,41
2015-10-26,57.0,44.0,68.0,51.0,55.0,19.0,37.0,59.8,54.0,64.0,38.0,43.0,43.0,96.0,74.0,36.0,42.0,31.0,22.0,73.0,42.0,17.0,71.8,65.0,23.0,0.0,43.0,82,67,70,17,74,28,62,76,69,52,62,17,95,70,60,32,20,17,44,24,39,63,35,33,54,73,68,30,39,13,73,76,83,33,66,53,72,30,-1.0,0,54,72,69,81,46,63,46,85,38,16,0,27,-1.0,56,29,0,84,61,44,55,0,26,14,58,76,33,-1.0,32,37
2015-11-02,49.0,39.0,66.0,39.0,63.0,16.0,37.0,44.0,51.0,67.0,49.0,46.0,0.0,59.0,70.0,34.0,35.0,32.0,22.0,71.0,37.0,34.0,64.2,67.0,21.0,0.0,34.0,76,66,69,17,77,32,60,77,70,56,57,0,66,66,55,33,19,18,35,55,39,63,0,36,58,66,72,27,39,10,78,78,83,32,53,56,72,25,-1.0,0,66,64,69,91,48,55,47,85,34,20,0,27,-1.0,61,33,0,85,61,46,55,0,18,18,60,80,37,-1.0,98,38
2015-11-09,53.0,39.0,78.0,46.0,60.0,40.0,12.0,49.6,54.0,59.0,52.0,46.0,39.0,70.0,72.0,35.0,39.0,31.0,44.0,77.0,36.0,50.0,69.0,65.0,26.0,0.0,14.0,74,64,68,17,76,34,60,76,66,54,58,0,74,63,53,28,23,17,36,24,58,64,35,19,57,67,69,27,43,33,83,75,78,29,62,71,79,25,-1.0,0,55,43,71,79,48,64,46,79,36,16,30,13,-1.0,59,43,48,82,71,47,54,0,21,20,62,80,33,-1.0,0,37
2015-11-16,59.0,45.0,80.0,58.0,62.0,22.0,12.0,38.4,49.0,66.0,46.0,33.0,29.0,55.0,75.0,35.0,43.0,34.0,22.0,73.0,57.0,0.0,69.0,64.0,26.0,0.0,29.0,75,67,70,17,77,37,60,79,71,51,56,0,67,61,53,27,23,18,35,36,67,68,34,37,57,67,65,33,50,16,88,71,83,28,51,71,71,25,-1.0,0,56,74,70,81,48,64,23,83,33,15,30,46,-1.0,53,45,0,84,75,44,53,0,24,18,67,79,44,-1.0,32,42
2015-11-23,60.0,45.0,63.0,38.0,59.0,25.0,12.0,23.4,58.0,64.0,61.0,68.0,43.0,70.0,74.0,37.0,53.0,43.0,44.0,74.0,48.0,17.0,68.6,72.0,27.0,0.0,38.0,74,74,70,20,90,76,60,80,71,58,57,0,62,72,70,27,28,18,38,36,39,80,35,32,60,68,70,30,55,13,95,80,71,27,70,68,72,20,-1.0,0,61,46,78,81,53,67,23,83,33,27,60,27,-1.0,57,50,0,84,83,47,56,0,22,18,68,81,30,-1.0,0,55
2015-11-30,67.0,50.0,80.0,69.0,67.0,21.0,24.0,66.0,66.0,63.0,47.0,62.0,28.0,70.0,79.0,38.0,50.0,46.0,33.0,83.0,27.0,0.0,75.6,73.0,29.0,0.0,47.0,72,69,71,20,74,30,61,84,70,62,59,0,79,62,55,22,41,18,36,12,19,78,17,38,67,72,77,27,71,16,85,77,81,27,86,59,70,10,-1.0,0,60,56,84,79,44,79,54,84,32,25,30,33,-1.0,56,41,0,85,77,41,57,0,22,15,68,80,55,-1.0,0,48
2015-12-07,64.0,50.0,68.0,47.0,60.0,37.0,37.0,50.0,56.0,63.0,59.0,54.0,38.0,65.0,72.0,40.0,44.0,48.0,33.0,71.0,34.0,17.0,77.4,70.0,28.0,0.0,62.0,74,71,72,18,72,27,62,82,71,53,61,0,74,70,54,25,33,18,34,30,78,78,52,33,67,68,77,29,62,27,88,77,76,28,64,64,62,5,-1.0,0,43,45,88,80,43,80,31,85,25,32,30,27,-1.0,54,60,48,87,73,39,56,0,22,20,62,79,37,-1.0,0,42
2015-12-14,60.0,41.0,66.0,39.0,61.0,38.0,12.0,22.4,64.0,53.0,40.0,61.0,34.0,77.0,68.0,37.0,41.0,46.0,0.0,70.0,33.0,34.0,64.6,71.0,28.0,0.0,59.0,74,74,73,18,74,28,63,85,71,56,67,0,70,74,55,26,22,19,34,50,40,80,36,33,68,70,72,27,61,10,91,71,78,25,55,68,71,26,-1.0,0,53,56,90,81,46,73,48,82,24,29,0,21,-1.0,55,62,49,83,68,36,52,0,21,13,61,74,69,-1.0,0,44
2015-12-21,48.0,42.0,56.0,27.0,50.0,17.0,14.0,30.2,57.0,58.0,30.0,53.0,48.0,77.0,57.0,35.0,46.0,41.0,37.0,47.0,28.0,19.0,62.8,75.0,28.0,0.0,38.0,77,76,72,19,76,28,65,86,69,53,64,0,58,72,45,25,24,18,35,14,55,73,59,33,68,64,66,24,57,4,83,73,59,19,65,66,73,6,-1.0,0,34,62,96,90,45,62,9,82,34,33,0,46,-1.0,53,37,55,84,82,52,51,0,21,19,56,69,59,-1.0,0,54
2015-12-28,49.0,46.0,74.0,57.0,50.0,48.0,41.0,46.8,56.0,65.0,67.0,51.0,27.0,62.0,71.0,36.0,53.0,33.0,0.0,72.0,26.0,19.0,69.2,78.0,23.0,0.0,38.0,78,71,77,21,77,29,64,83,70,55,66,20,63,80,59,22,19,18,40,27,22,73,39,36,63,75,99,21,51,11,76,77,61,25,62,70,64,39,-1.0,100,40,54,81,91,46,57,26,83,43,31,0,45,-1.0,57,39,0,86,60,53,57,41,100,24,74,73,29,-1.0,0,46
2016-01-04,53.0,45.0,64.0,69.0,61.0,20.0,26.0,40.0,57.0,62.0,45.0,48.0,35.0,70.0,80.0,35.0,44.0,29.0,58.0,74.0,31.0,18.0,60.8,68.0,26.0,0.0,35.0,76,67,72,19,76,26,56,77,66,53,64,0,73,77,51,28,26,18,33,26,10,69,37,47,57,85,71,28,39,14,88,73,87,100,84,54,71,27,-1.0,0,44,56,70,81,49,64,8,83,37,20,32,72,-1.0,62,40,0,84,77,39,58,0,21,13,73,74,60,-1.0,70,43
2016-01-11,54.0,44.0,61.0,71.0,60.0,20.0,64.0,46.8,66.0,47.0,61.0,56.0,60.0,51.0,80.0,35.0,48.0,29.0,35.0,77.0,37.0,18.0,62.0,68.0,25.0,0.0,30.0,77,68,71,18,74,25,55,77,64,52,62,0,78,60,51,30,19,18,34,37,30,62,0,32,56,77,64,28,38,3,92,62,85,35,62,50,71,36,-1.0,0,41,56,72,73,50,73,40,76,45,16,62,7,-1.0,58,53,49,81,72,44,62,0,20,16,65,78,69,-1.0,34,39
2016-01-18,52.0,43.0,61.0,63.0,60.0,19.0,38.0,31.8,64.0,48.0,62.0,51.0,40.0,64.0,86.0,36.0,47.0,33.0,23.0,78.0,42.0,0.0,67.4,71.0,35.0,0.0,25.0,76,63,72,18,77,27,56,77,63,55,67,0,74,68,47,29,16,18,41,45,61,65,73,38,57,82,63,24,39,21,87,78,84,26,66,66,69,32,-1.0,0,65,50,70,88,51,61,57,80,26,20,63,35,-1.0,62,41,0,85,81,48,62,0,17,13,67,81,35,-1.0,34,44
2016-01-25,51.0,49.0,64.0,65.0,63.0,29.0,26.0,42.6,67.0,61.0,58.0,58.0,25.0,53.0,87.0,37.0,36.0,34.0,69.0,74.0,48.0,35.0,66.0,67.0,28.0,0.0,45.0,75,64,67,18,71,27,59,77,63,52,63,19,79,70,50,31,21,18,51,32,83,58,37,37,59,81,67,28,37,4,83,69,85,28,64,61,69,16,-1.0,0,49,51,71,90,51,61,25,78,46,18,0,35,-1.0,60,33,51,87,63,42,62,0,15,21,73,83,31,-1.0,0,38
2016-02-01,49.0,48.0,51.0,44.0,62.0,32.0,26.0,24.6,64.0,59.0,63.0,41.0,40.0,62.0,81.0,38.0,32.0,29.0,23.0,73.0,32.0,0.0,70.4,68.0,30.0,0.0,35.0,78,69,74,18,71,28,59,82,64,48,67,0,78,74,42,33,19,18,100,63,41,56,90,39,60,76,68,27,39,3,78,68,90,25,62,60,61,26,-1.0,0,48,52,70,83,59,67,8,83,39,13,0,14,-1.0,61,49,100,82,42,43,64,0,29,16,68,81,39,-1.0,0,32
2016-02-08,49.0,46.0,65.0,65.0,66.0,29.0,0.0,54.0,66.0,54.0,57.0,34.0,30.0,55.0,72.0,39.0,34.0,34.0,46.0,85.0,50.0,0.0,71.8,66.0,36.0,0.0,10.0,78,65,75,18,70,28,61,79,63,47,65,0,76,62,46,36,15,19,55,45,51,56,36,34,65,79,66,29,41,28,72,70,86,25,65,62,66,21,-1.0,0,48,57,72,96,47,69,24,79,36,17,0,14,-1.0,57,33,0,86,48,40,63,0,27,24,71,80,47,-1.0,0,34
2016-02-15,45.0,41.0,48.0,70.0,62.0,54.0,50.0,49.8,67.0,37.0,59.0,49.0,30.0,68.0,81.0,39.0,32.0,32.0,45.0,74.0,48.0,17.0,67.0,67.0,37.0,0.0,49.0,76,64,73,18,71,27,59,78,62,58,64,0,73,58,37,28,19,19,44,31,10,57,0,28,60,78,66,30,42,10,73,61,86,22,57,65,60,67,-1.0,0,46,47,73,85,57,76,32,83,32,17,62,21,-1.0,61,26,0,82,53,39,60,38,20,22,66,81,42,-1.0,34,33
2016-02-22,45.0,55.0,56.0,47.0,66.0,38.0,25.0,43.6,68.0,57.0,60.0,37.0,10.0,75.0,80.0,43.0,24.0,30.0,34.0,82.0,52.0,17.0,77.8,70.0,42.0,0.0,44.0,80,62,73,17,73,26,58,79,59,52,66,0,84,67,43,33,17,18,40,38,20,53,36,25,55,81,71,21,37,21,75,64,88,31,45,65,80,15,-1.0,0,58,70,71,79,60,77,32,82,33,13,0,21,-1.0,65,41,0,86,51,42,57,76,18,22,71,85,50,-1.0,34,29
2016-02-29,44.0,56.0,61.0,61.0,63.0,34.0,62.0,58.4,75.0,40.0,66.0,35.0,15.0,59.0,75.0,46.0,25.0,32.0,33.0,75.0,55.0,17.0,71.4,71.0,40.0,0.0,53.0,91,64,71,18,71,27,59,78,60,56,63,17,78,59,50,32,13,18,36,42,48,48,69,33,50,78,68,28,38,7,74,71,85,26,62,56,73,30,-1.0,0,53,79,66,91,58,73,46,77,44,13,30,27,-1.0,63,27,0,87,45,44,58,0,17,11,61,83,59,-1.0,0,28
2016-03-07,45.0,56.0,47.0,77.0,63.0,29.0,13.0,42.4,78.0,51.0,72.0,36.0,49.0,55.0,80.0,50.0,23.0,29.0,23.0,83.0,59.0,0.0,72.8,71.0,60.0,0.0,40.0,84,61,71,17,76,25,58,79,63,56,63,0,82,62,43,31,13,21,36,57,40,46,54,29,49,82,70,33,36,28,83,64,93,24,51,63,61,21,-1.0,0,67,68,72,85,58,66,32,98,41,18,31,28,-1.0,69,34,0,90,51,45,65,0,26,24,66,85,35,-1.0,0,32
2016-03-14,43.0,57.0,65.0,76.0,66.0,58.0,13.0,60.2,82.0,40.0,73.0,32.0,20.0,54.0,88.0,50.0,24.0,32.0,46.0,85.0,45.0,0.0,79.0,75.0,46.0,0.0,35.0,81,61,69,16,73,26,56,77,63,56,64,0,77,54,37,27,15,19,36,62,20,41,18,22,59,83,69,30,36,10,76,69,83,30,81,67,57,31,-1.0,0,56,54,67,92,65,77,56,83,44,13,31,34,-1.0,68,21,0,88,44,43,65,0,22,22,62,83,34,-1.0,0,25
2016-03-21,46.0,52.0,62.0,67.0,63.0,43.0,26.0,75.2,77.0,51.0,62.0,22.0,31.0,50.0,76.0,50.0,19.0,34.0,35.0,86.0,55.0,18.0,72.6,80.0,46.0,100.0,57.0,86,60,73,17,73,26,58,79,63,56,67,0,73,59,43,27,12,19,36,39,21,44,37,43,58,79,68,28,38,4,79,66,79,24,52,64,60,37,-1.0,0,56,43,68,94,61,62,33,81,53,12,32,28,-1.0,63,24,0,82,44,57,55,39,20,18,67,83,39,-1.0,0,30
2016-03-28,45.0,58.0,56.0,74.0,62.0,39.0,13.0,54.8,77.0,46.0,60.0,39.0,20.0,59.0,72.0,50.0,21.0,31.0,46.0,81.0,56.0,17.0,78.2,76.0,50.0,0.0,40.0,83,61,77,17,74,26,58,79,63,55,64,0,82,69,42,28,14,19,35,6,41,43,55,51,53,78,69,33,38,14,91,63,86,25,56,61,70,26,-1.0,0,56,41,67,93,61,62,41,84,46,14,32,28,-1.0,67,24,0,85,42,45,58,0,19,21,67,84,35,-1.0,0,27
2016-04-04,48.0,57.0,55.0,92.0,65.0,57.0,63.0,59.0,81.0,47.0,77.0,44.0,25.0,71.0,79.0,52.0,24.0,34.0,34.0,76.0,52.0,17.0,75.6,83.0,60.0,0.0,40.0,82,62,76,17,75,26,60,82,61,55,66,18,82,80,44,33,19,18,36,38,91,44,54,33,56,83,70,37,36,38,75,69,79,24,67,66,57,21,-1.0,0,69,66,67,89,61,55,32,82,40,21,0,28,-1.0,72,39,0,89,45,41,60,38,29,13,72,83,46,-1.0,0,27
2016-04-11,43.0,67.0,62.0,63.0,68.0,35.0,0.0,56.6,81.0,45.0,87.0,38.0,15.0,54.0,84.0,53.0,19.0,27.0,57.0,85.0,64.0,0.0,81.2,78.0,51.0,0.0,60.0,85,62,72,17,76,26,62,77,59,52,67,0,81,61,45,33,13,20,33,44,91,43,36,49,54,83,72,32,38,24,82,59,83,29,59,71,67,26,-1.0,0,60,73,65,76,57,68,24,82,49,13,94,77,-1.0,74,39,0,87,45,47,100,38,17,14,63,85,46,-1.0,0,27
2016-04-18,41.0,74.0,67.0,78.0,68.0,67.0,25.0,82.8,79.0,47.0,67.0,43.0,25.0,59.0,75.0,60.0,18.0,27.0,0.0,80.0,53.0,17.0,80.0,75.0,77.0,0.0,35.0,86,63,73,17,76,26,64,82,62,53,62,0,72,59,34,38,13,20,38,57,30,42,36,43,51,80,74,32,34,35,83,69,81,25,60,85,71,31,-1.0,93,51,66,64,82,60,58,16,79,52,13,0,21,-1.0,70,30,50,86,45,45,73,0,22,22,61,86,50,-1.0,0,28
2016-04-25,41.0,61.0,63.0,66.0,66.0,51.0,25.0,77.2,83.0,51.0,78.0,23.0,10.0,65.0,73.0,55.0,20.0,33.0,34.0,83.0,54.0,17.0,79.4,76.0,63.0,0.0,39.0,85,61,72,17,78,25,60,82,62,51,71,36,88,60,29,31,16,19,37,25,61,45,36,43,52,86,73,34,36,14,77,74,81,26,54,73,67,10,-1.0,0,70,47,66,85,59,68,40,84,42,14,31,28,-1.0,70,47,0,87,49,46,61,0,24,17,62,83,42,-1.0,34,27
2016-05-02,45.0,60.0,60.0,58.0,66.0,52.0,39.0,69.6,79.0,44.0,78.0,19.0,30.0,58.0,81.0,60.0,20.0,30.0,70.0,89.0,62.0,0.0,86.6,80.0,67.0,0.0,25.0,87,63,76,17,80,26,63,87,59,53,66,19,78,62,37,28,14,20,41,39,73,42,74,44,58,85,72,35,35,18,77,65,77,24,47,68,66,37,-1.0,0,61,68,71,85,62,64,33,83,50,12,0,0,-1.0,74,37,51,89,39,45,76,0,15,20,66,80,20,-1.0,0,27
2016-05-09,40.0,65.0,56.0,57.0,65.0,74.0,0.0,49.8,87.0,47.0,61.0,25.0,15.0,53.0,74.0,66.0,18.0,27.0,11.0,80.0,67.0,0.0,86.6,80.0,65.0,0.0,25.0,86,61,71,16,74,25,59,80,62,51,62,0,78,57,33,26,12,20,37,32,61,41,0,54,53,81,72,36,38,14,60,56,84,26,50,85,68,26,-1.0,0,58,74,69,79,58,76,49,83,57,18,0,35,-1.0,77,58,0,85,39,38,58,0,24,16,62,82,39,-1.0,0,25
2016-05-16,43.0,66.0,45.0,86.0,64.0,60.0,25.0,53.4,78.0,51.0,74.0,20.0,20.0,58.0,78.0,58.0,19.0,28.0,68.0,82.0,59.0,17.0,93.4,74.0,51.0,0.0,49.0,87,62,77,17,74,25,61,84,61,55,64,0,70,57,40,25,11,22,34,44,20,39,18,46,48,79,73,40,38,42,77,67,83,23,54,54,68,37,-1.0,0,100,62,62,83,55,53,0,85,53,14,0,21,-1.0,74,39,0,89,36,46,68,39,19,8,63,79,39,-1.0,68,28
2016-05-23,42.0,63.0,54.0,78.0,67.0,62.0,52.0,59.8,88.0,47.0,47.0,19.0,10.0,42.0,68.0,69.0,19.0,30.0,23.0,73.0,59.0,0.0,86.2,79.0,78.0,0.0,31.0,85,59,71,17,77,25,62,82,62,55,66,0,71,50,32,30,16,24,36,7,52,39,56,45,47,78,74,38,40,14,81,68,80,22,64,71,72,16,-1.0,0,70,81,66,80,63,69,100,83,55,16,0,36,-1.0,79,44,0,91,40,45,60,0,18,15,69,79,44,-1.0,35,26
2016-05-30,37.0,67.0,55.0,84.0,63.0,69.0,26.0,47.2,92.0,60.0,64.0,30.0,26.0,52.0,66.0,77.0,16.0,29.0,12.0,82.0,57.0,18.0,84.0,77.0,77.0,0.0,31.0,85,58,76,17,77,25,61,84,65,51,66,0,70,59,32,40,15,25,38,39,42,38,0,48,47,76,76,38,43,32,72,64,76,24,54,57,67,48,-1.0,0,61,51,65,91,61,68,17,84,62,19,32,65,-1.0,80,62,52,87,29,52,55,0,27,21,62,74,36,-1.0,0,25
2016-06-06,39.0,69.0,64.0,71.0,65.0,72.0,39.0,50.6,87.0,55.0,69.0,25.0,20.0,43.0,74.0,77.0,20.0,24.0,58.0,85.0,62.0,18.0,89.2,80.0,73.0,0.0,36.0,86,61,72,16,75,27,60,82,64,51,64,0,64,59,36,32,15,23,38,84,83,39,18,57,44,78,76,36,41,28,73,61,81,24,51,71,66,27,-1.0,0,84,63,64,75,58,66,25,82,49,17,0,28,-1.0,81,55,0,83,38,47,53,0,19,16,60,78,63,-1.0,35,24
2016-06-13,38.0,65.0,50.0,61.0,64.0,75.0,39.0,74.4,81.0,39.0,68.0,48.0,10.0,59.0,64.0,68.0,17.0,29.0,46.0,82.0,57.0,35.0,84.4,78.0,60.0,0.0,40.0,84,59,71,16,81,26,62,83,79,48,65,0,78,59,33,45,8,23,38,51,31,39,55,42,45,76,73,38,41,17,74,66,79,20,46,56,74,5,-1.0,94,54,41,64,73,50,60,41,80,69,18,32,28,-1.0,76,61,0,87,43,52,55,0,30,21,56,75,59,-1.0,0,25
2016-06-20,39.0,60.0,46.0,82.0,64.0,63.0,13.0,90.4,88.0,60.0,59.0,28.0,5.0,51.0,65.0,73.0,20.0,32.0,0.0,76.0,46.0,18.0,80.8,81.0,61.0,0.0,31.0,85,60,75,16,73,27,60,80,84,48,63,0,67,52,28,37,22,21,35,33,31,38,37,43,45,76,71,34,42,21,78,64,81,26,57,74,63,32,-1.0,0,53,71,64,75,61,76,33,81,47,15,32,29,-1.0,76,53,0,93,43,52,66,40,22,25,58,75,64,-1.0,35,23
2016-06-27,40.0,62.0,46.0,74.0,61.0,46.0,91.0,34.4,81.0,56.0,62.0,35.0,10.0,59.0,60.0,70.0,18.0,31.0,12.0,78.0,77.0,0.0,79.0,77.0,56.0,0.0,15.0,86,61,77,16,73,27,61,82,74,47,64,0,69,58,31,44,17,20,36,58,21,38,19,49,44,76,71,39,42,14,62,57,81,18,52,58,64,37,-1.0,0,59,68,63,77,64,72,0,76,45,18,0,43,-1.0,74,46,0,89,34,51,67,0,25,13,55,72,44,-1.0,0,25
2016-07-04,39.0,58.0,56.0,70.0,62.0,39.0,55.0,84.8,83.0,59.0,46.0,22.0,16.0,57.0,63.0,70.0,15.0,27.0,37.0,86.0,72.0,19.0,77.0,77.0,54.0,0.0,22.0,87,63,79,16,77,28,63,86,71,51,66,0,67,55,36,41,23,22,36,48,11,39,39,74,45,76,72,32,43,34,69,60,73,25,62,59,73,45,-1.0,0,69,70,66,81,55,69,35,79,62,14,34,68,-1.0,71,52,0,89,49,63,73,0,25,26,56,76,68,-1.0,0,26
2016-07-11,38.0,58.0,61.0,47.0,59.0,48.0,41.0,70.2,78.0,48.0,54.0,29.0,27.0,69.0,63.0,67.0,20.0,29.0,12.0,83.0,40.0,19.0,76.2,72.0,68.0,0.0,21.0,91,63,75,16,77,27,61,82,62,47,64,0,70,50,37,33,10,100,35,27,75,39,19,42,43,74,70,32,41,18,73,58,75,23,42,58,55,0,-1.0,0,60,37,63,70,60,62,17,82,47,11,0,0,-1.0,69,45,0,87,34,46,65,0,27,25,58,75,49,-1.0,0,24
2016-07-18,40.0,60.0,60.0,80.0,61.0,28.0,28.0,51.2,89.0,35.0,64.0,31.0,5.0,58.0,59.0,76.0,16.0,23.0,25.0,80.0,55.0,38.0,73.4,75.0,67.0,0.0,38.0,95,64,78,16,78,27,64,83,63,48,67,0,74,50,35,74,16,37,33,20,76,37,19,43,47,77,77,27,47,30,61,60,78,17,44,71,58,22,-1.0,0,50,81,64,70,65,70,26,80,62,11,0,22,-1.0,76,53,54,91,40,47,53,0,24,22,57,77,33,-1.0,36,24
